rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,mean_test_recall,mean_test_precision,mean_fit_time,params
1,0.8014061146298467,0.0034147257279370925,0.6858181103908859,0.7563885356003764,20.08023762702942,"{""bagging_temperature"": 0.5, ""depth"": 7, ""iterations"": 300, ""l2_leaf_reg"": 9, ""learning_rate"": 0.03, ""random_strength"": 0.5}"
2,0.801080929618932,0.003653163647524518,0.6877332547633078,0.7531237365663236,31.641510327657063,"{""bagging_temperature"": 0.0, ""depth"": 4, ""iterations"": 700, ""l2_leaf_reg"": 7, ""learning_rate"": 0.03, ""random_strength"": 1.0}"
3,0.8010616360556568,0.003733600272242587,0.6868984482419956,0.7534764456100812,22.707046031951904,"{""bagging_temperature"": 1.0, ""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 9, ""learning_rate"": 0.03, ""random_strength"": 2.0}"
4,0.8009765053820401,0.003455590785581807,0.6882734236888627,0.754728943458134,48.38914998372396,"{""bagging_temperature"": 0.5, ""depth"": 7, ""iterations"": 700, ""l2_leaf_reg"": 7, ""learning_rate"": 0.03, ""random_strength"": 2.0}"
5,0.8006418338333591,0.003620827989856396,0.6883225299548222,0.7544609562398149,18.336392323176067,"{""bagging_temperature"": 1.0, ""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.08, ""random_strength"": 1.0}"
6,0.8004009637928888,0.0036185453008513646,0.6877332547633078,0.7543312798950245,33.33405844370524,"{""bagging_temperature"": 0.5, ""depth"": 7, ""iterations"": 500, ""l2_leaf_reg"": 9, ""learning_rate"": 0.05, ""random_strength"": 0.5}"
7,0.7996581647593811,0.0035570520415957457,0.6884698487527009,0.7522166451834081,40.049702167510986,"{""bagging_temperature"": 0.5, ""depth"": 5, ""iterations"": 700, ""l2_leaf_reg"": 9, ""learning_rate"": 0.08, ""random_strength"": 2.0}"
8,0.7994859733827845,0.003983584956149305,0.6895992928697702,0.7527308212701067,30.659462451934814,"{""bagging_temperature"": 1.0, ""depth"": 4, ""iterations"": 700, ""l2_leaf_reg"": 9, ""learning_rate"": 0.1, ""random_strength"": 1.0}"
9,0.7990981067502853,0.0036123445175563124,0.6888626988803771,0.7532236603871102,24.42429320017497,"{""bagging_temperature"": 0.0, ""depth"": 7, ""iterations"": 300, ""l2_leaf_reg"": 7, ""learning_rate"": 0.1, ""random_strength"": 1.0}"
10,0.7978119310867348,0.0036623118401759303,0.686751129444117,0.7529628745415304,36.158177057902016,"{""bagging_temperature"": 1.0, ""depth"": 7, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.08, ""random_strength"": 0.5}"
11,0.7968030919496103,0.00379555517056766,0.6879787860931055,0.7510082364555176,46.566925366719566,"{""bagging_temperature"": 1.0, ""depth"": 7, ""iterations"": 700, ""l2_leaf_reg"": 9, ""learning_rate"": 0.08, ""random_strength"": 2.0}"
12,0.7956395333352262,0.004147989306867606,0.6854252602632096,0.7512485062562665,53.65486669540405,"{""bagging_temperature"": 0.5, ""depth"": 7, ""iterations"": 700, ""l2_leaf_reg"": 5, ""learning_rate"": 0.1, ""random_strength"": 1.0}"
